season,asof,location,gamma,g_raw,w,g_hat,r_star_raw,r_star,clipped_low,clipped_high,reason
2023-24,2024-01-13,New York,2.1875,-0.28955198083689027,0.4240398738087875,-0.1227815854151594,0.9438712752387842,0.9438712752387842,False,False,ok
2023-24,2024-01-13,Pennsylvania,2.1875,-0.19500001505372566,0.42156802191072995,-0.08220577061876169,0.962420219145709,0.962420219145709,False,False,ok
2023-24,2024-01-13,Vermont,2.1875,0.4274440148269396,0.2630241423125794,0.11242809538650127,1.051395700748115,1.051395700748115,False,False,ok
2023-24,2024-01-13,Wyoming,2.1875,-0.4054651081081637,0.36627906976744184,-0.14851338262101346,0.9321081679446795,0.9321081679446795,False,False,ok
2023-24,2024-01-20,Alaska,2.1875,0.4054651081081646,0.1656441717791411,0.06716293201791683,1.030703054636762,1.030703054636762,False,False,ok
2023-24,2024-01-20,California,2.1875,0.006812678417507101,0.42385694143039304,0.00288760103699341,1.0013200461883398,1.0013200461883398,False,False,ok
2023-24,2024-01-20,New York,2.1875,-0.1876968023184622,0.42307219373178157,-0.07940929791331235,0.9636986066682001,0.9636986066682001,False,False,ok
2023-24,2024-01-20,Pennsylvania,2.1875,-0.2231435513142097,0.41927710843373495,-0.09355898296065661,0.9572301792179856,0.9572301792179856,False,False,ok
2023-24,2024-01-20,Vermont,2.1875,0.08004270767353638,0.2939698492462311,0.023530142708049637,1.010756636666537,1.010756636666537,False,False,ok
2023-24,2024-01-20,Wyoming,2.1875,-0.889857474806,0.3173455978975033,-0.2823923523858725,0.8709063531950297,0.8709063531950297,False,False,ok
2023-24,2024-01-27,Alaska,2.1875,-0.4054651081081646,0.1656441717791411,-0.06716293201791683,0.9692969453632381,0.9692969453632381,False,False,ok
2023-24,2024-01-27,California,2.1875,-0.4112288128249144,0.4227663844250041,-0.17385371836937583,0.9205240144597139,0.9205240144597139,False,False,ok
2023-24,2024-01-27,New York,2.1875,0.08535984895115689,0.42283539486203614,0.03609316543662618,1.016499732771029,1.016499732771029,False,False,ok
2023-24,2024-01-27,Pennsylvania,2.1875,-0.10438204199854617,0.4174839356617068,-0.043577825705958625,0.9800787082487046,0.9800787082487046,False,False,ok
2023-24,2024-01-27,Vermont,2.1875,-0.21357410029805912,0.2872676253945984,-0.06135292463841123,0.9719529487367263,0.9719529487367263,False,False,ok
2023-24,2024-01-27,Wyoming,2.1875,0.5533852381847866,0.30803571428571425,0.17046241711942084,1.0779256763974496,1.0779256763974496,False,False,ok
2023-24,2024-02-03,Alaska,2.1875,0.15415067982725827,0.1547911547911548,0.023861161742302878,1.0109079596536241,1.0109079596536241,False,False,ok
2023-24,2024-02-03,California,2.1875,-0.31581265202369835,0.4205340067023313,-0.132809959922815,0.939286875463856,0.939286875463856,False,False,ok
2023-24,2024-02-03,New York,2.1875,-0.20755145655437346,0.42241782217881696,-0.08767343426773978,0.9599207157633189,0.9599207157633189,False,False,ok
2023-24,2024-02-03,Pennsylvania,2.1875,0.07985461400233351,0.4173568726394341,0.03332787196584308,1.0152355986129569,1.0152355986129569,False,False,ok
2023-24,2024-02-03,Vermont,2.1875,-0.27193371548364187,0.2630480167014614,-0.07153162453223147,0.9672998287852657,0.9672998287852657,False,False,ok
2023-24,2024-02-03,Wyoming,2.1875,0.0,0.33333333333333326,0.0,1.0,1.0,False,False,ok
2023-24,2024-02-10,Alaska,2.1875,0.3184537311185349,0.19186046511627905,0.061098680970416576,1.027930825586476,1.027930825586476,False,False,ok
2023-24,2024-02-10,California,2.1875,-0.2845124976905016,0.4179753766565329,-0.11891921838567834,0.9456369287379756,0.9456369287379756,False,False,ok
2023-24,2024-02-10,New York,2.1875,0.003888533739693223,0.4223154588606472,0.0016421879105736519,1.0007507144734051,1.0007507144734051,False,False,ok
2023-24,2024-02-10,Pennsylvania,2.1875,-0.06365785177197747,0.4177108020860631,-0.02659057232274842,0.987844309795315,0.987844309795315,False,False,ok
2023-24,2024-02-10,Vermont,2.1875,0.10536051565782634,0.26732673267326734,0.02816568240357734,1.0128757405273496,1.0128757405273496,False,False,ok
