model,season,location,asof,horizon,wis,y,w0.01,c0.01,w0.025,c0.025,w0.05,c0.05,w0.1,c0.1,w0.15,c0.15,w0.2,c0.2,w0.25,c0.25,w0.3,c0.3,w0.35,c0.35,w0.4,c0.4,w0.45,c0.45,base_wis
adaptive,2023-24,02,2023-10-28,2,19.15679019706201,17.0,396.86351993838883,1.0,290.3489662149522,1.0,220.32760135002718,1.0,151.8248756688329,1.0,114.87180857963496,1.0,88.56464407236224,0.0,68.19539022393064,0.0,51.77012792738432,0.0,36.79496270876237,0.0,24.078281238690252,0.0,12.215812975498238,0.0,7.6940976194
adaptive,2023-24,02,2023-10-28,3,18.609127862395713,14.0,344.0919319513577,1.0,265.2367364911328,1.0,205.93458118829824,1.0,147.7033371507377,1.0,114.01425443798357,1.0,88.76264119472098,0.0,68.97272922909532,0.0,52.501629711699415,0.0,38.021818161365324,0.0,25.06188773767794,0.0,11.803277987852198,0.0,9.3569484084
adaptive,2023-24,06,2023-10-28,0,13.233022799004445,97.0,354.82087392008464,1.0,250.07162740613552,1.0,189.53826261224057,1.0,133.0746619304283,1.0,101.99186526180296,1.0,80.04613585842985,1.0,63.12461702667385,1.0,48.26877748465872,1.0,35.046190372675674,0.0,22.61938120644048,0.0,11.477950020213044,0.0,16.0926934783
adaptive,2023-24,06,2023-10-28,1,80.39451242039286,231.0,851.597998633296,1.0,555.5306552669269,1.0,378.82792556875677,1.0,244.1673004299863,1.0,178.21030650664244,0.0,134.6050502370437,0.0,102.67139472867532,0.0,77.32454264031614,0.0,55.82046701381102,0.0,36.10143006802828,0.0,17.779579993827284,0.0,100.0052012615
adaptive,2023-24,06,2023-10-28,2,160.90053872747546,372.0,1599.432166083885,1.0,973.1568368154,1.0,626.3870385699057,1.0,384.3387501747751,1.0,265.48095840194344,0.0,194.88747622896958,0.0,145.52445337824682,0.0,108.16090510383017,0.0,76.25143923985321,0.0,49.13278116461032,0.0,24.025958290006173,0.0,184.537513549
adaptive,2023-24,06,2023-10-28,3,207.03648721609187,459.0,2089.710552404479,1.0,1279.2837414970757,1.0,824.2717849785412,1.0,511.13575848298274,1.0,350.4231942341642,0.0,255.9807554375175,0.0,185.7341003270836,0.0,134.017859928341,0.0,92.86705016354179,0.0,59.083953600282015,0.0,28.03867356604711,0.0,226.315483118
adaptive,2023-24,36,2023-10-28,0,8.111966641890838,56.0,268.6242453293079,1.0,186.04277217946495,1.0,137.93437019098332,1.0,96.18456604938385,1.0,73.22568844001074,1.0,56.83118653041086,1.0,44.258822920442825,1.0,33.887082662105016,1.0,24.52252020745715,1.0,16.048053800362688,1.0,7.959132724602519,0.0,7.7882978261
adaptive,2023-24,36,2023-10-28,1,20.451473463213304,88.0,650.2211539605071,1.0,413.76384765756166,1.0,285.20264513173237,1.0,175.89694929664557,1.0,126.52626438571401,1.0,96.14260030756344,1.0,72.79545944512243,1.0,54.659750922022184,0.0,39.6699932311052,0.0,25.52896303032682,0.0,13.017483490819863,0.0,24.5568446751
adaptive,2023-24,36,2023-10-28,2,37.007193476386945,123.0,1072.5058492053736,1.0,702.198702681292,1.0,463.50000442139327,1.0,275.40740413691253,1.0,189.5121062119074,1.0,138.17836045641303,1.0,102.55441114160539,1.0,75.00501836984141,0.0,52.69300365436454,0.0,33.187216888056135,0.0,16.381834172077795,0.0,42.6278495213
adaptive,2023-24,36,2023-10-28,3,62.67878938233996,176.0,1335.9482453043352,1.0,888.1271587801554,1.0,607.739669813347,1.0,354.5904604268523,1.0,246.1201442374251,1.0,178.19764818552645,1.0,130.06181604059665,0.0,95.09151119920487,0.0,65.23018310203183,0.0,40.430986438863414,0.0,19.74453232004592,0.0,69.5909270817
adaptive,2023-24,42,2023-10-28,0,14.151384977671714,30.0,253.12508771449274,1.0,175.89016307310533,1.0,131.24698091551383,1.0,91.67279156167444,1.0,70.37801188255375,1.0,55.63532182886885,0.0,43.09685432141591,0.0,32.93391834159981,0.0,24.03719067005308,0.0,15.81804304046689,0.0,8.306312932212997,0.0,12.0934652174
adaptive,2023-24,42,2023-10-28,1,16.79352863968697,81.0,777.8533202573832,1.0,453.7359985778825,1.0,296.02190105171724,1.0,184.1752340199636,1.0,132.64946794179195,1.0,100.2172102839132,1.0,76.11477164024801,1.0,56.68504488224373,1.0,40.99165965213445,1.0,26.31791664828797,0.0,13.100502774670936,0.0,18.1484032422
adaptive,2023-24,42,2023-10-28,2,27.185120775721906,89.0,1955.6390377916696,1.0,1063.3754394961013,1.0,633.2088968270002,1.0,350.0520183861467,1.0,236.86154537505732,1.0,170.83376945192188,1.0,123.86732029823631,1.0,91.1487872627433,1.0,64.58939296055424,1.0,40.94316285219499,1.0,19.944738014122798,0.0,22.8231508962
adaptive,2023-24,42,2023-10-28,3,46.43843069235102,118.0,3129.2905482076753,1.0,1919.0581539958184,1.0,1188.5338794483896,1.0,631.9801409785822,1.0,401.42069253587357,1.0,272.49558317484474,1.0,193.8910880282549,1.0,138.5738328309684,1.0,95.5913225805952,1.0,61.31556599007197,0.0,29.29771413895253,0.0,36.926187102
adaptive,2023-24,02,2023-11-04,0,5.0568753178313255,39.0,149.50732396892116,1.0,109.72140319305237,1.0,83.91053223883773,1.0,60.45323594169871,1.0,46.558988230970215,1.0,36.534502204973535,1.0,29.028143713898242,1.0,22.0814799432566,1.0,16.1908280196057,1.0,10.539345385367284,1.0,5.453310579082519,0.0,4.5521043478
adaptive,2023-24,02,2023-11-04,1,12.709514544228524,17.0,270.5082963562308,1.0,188.6146912425243,1.0,138.94551718380364,1.0,96.12391855483935,1.0,72.48696498819562,1.0,56.191697244513904,0.0,43.8104758177566,0.0,33.3340576874235,0.0,24.249780317398248,0.0,16.013487573600266,0.0,7.6192131856968,0.0,9.7913622567
