Reff__FREE	eps1__FREE	phi1__FREE	theta__FREE	mult__FREE	r__FREE
9.090758993027188151e-01 3.195811433392869993e-02 3.308219017907302373e+01 2.583995595350473407e-01 4.675820230224941865e-01 3.367348056627437103e+01
9.184348102094092026e-01 8.143696287271122436e-02 3.456647042941239079e+01 2.419955993910253567e-01 4.621001002093891863e-01 3.408350708056607914e+01
9.539002756057880505e-01 5.073926472392646658e-02 3.785414219742450825e+01 1.698383883881841028e-01 4.423904695892962313e-01 2.277601665189628832e+01
1.132766848026459883e+00 4.585671971092981913e-02 3.395700213017684632e+01 5.654617026121351309e-01 2.767273162148514709e-01 2.585295764699242227e+01
1.157843649603508940e+00 4.193193365426325231e-02 3.025346108948817303e+01 6.194943523957369136e-01 2.957217453004469254e-01 2.395923855381418477e+01
1.157843649603508940e+00 4.193193365426325231e-02 3.025346108948817303e+01 6.194943523957369136e-01 2.957217453004469254e-01 2.395923855381418477e+01
1.093628776844332906e+00 4.208485368451103659e-02 2.353956250478604773e+01 4.780548049708472358e-01 2.777694061071112608e-01 2.715149358491654752e+01
1.156749160772275964e+00 4.089875262390135768e-02 2.238302834050073997e+01 5.108842912176336792e-01 2.768197636387798588e-01 2.961300254863997594e+01
1.100553779626161077e+00 3.048966296017930830e-03 4.556788491393331242e+01 3.367715370843932243e-01 2.249704658445361716e-01 3.676301373487785895e+01
9.503201123086936208e-01 2.210424113778857169e-01 4.577692965631690214e+01 3.007252371597415874e-01 3.229434522534491148e-01 3.435045066039524642e+01
9.199769680737324151e-01 2.096504228668915892e-01 4.301302754989858101e+01 2.940708628227580168e-01 3.653080587579319305e-01 3.770361802159327169e+01
9.199769680737324151e-01 2.096504228668915892e-01 4.301302754989858101e+01 2.940708628227580168e-01 3.653080587579319305e-01 3.770361802159327169e+01
1.038710623965106716e+00 1.610689179375801305e-01 5.200000000000000000e+01 3.629373719203349835e-01 3.233185897499722961e-01 3.448374337006492851e+01
1.016209568661543328e+00 1.195421074312245924e-01 4.911255930504499645e+01 4.249645900118730890e-01 3.044941584740356588e-01 3.347536253656092242e+01
1.016209568661543328e+00 1.195421074312245924e-01 4.911255930504499645e+01 4.249645900118730890e-01 3.044941584740356588e-01 3.347536253656092242e+01
9.324271425619354847e-01 1.320812127404525915e-01 5.200000000000000000e+01 2.328402555260987994e-01 2.988399282753164687e-01 3.735427764927874961e+01
1.028602835902030943e+00 1.379902105407855573e-01 4.613593916572278886e+01 4.592774772145849504e-01 3.633477437025139922e-01 3.381192464219791560e+01
1.047267054371268769e+00 1.497322172792649453e-01 4.867238262111375491e+01 4.372353173979813823e-01 3.761317242095497115e-01 3.425435950950142683e+01
1.047267054371268769e+00 1.497322172792649453e-01 4.867238262111375491e+01 4.372353173979813823e-01 3.761317242095497115e-01 3.425435950950142683e+01
1.026977318320903221e+00 1.484060296206478335e-01 4.646333414856771782e+01 4.411947462974469825e-01 3.095164909388077312e-01 3.778921750703896265e+01
1.053160588045157553e+00 1.422626937779187806e-01 4.550289822562184838e+01 4.602882905491089138e-01 3.742508558174132416e-01 3.552316144799204523e+01
1.053160588045157553e+00 1.422626937779187806e-01 4.550289822562184838e+01 4.602882905491089138e-01 3.742508558174132416e-01 3.552316144799204523e+01
1.060786799327865015e+00 1.447258111583438756e-01 4.642515279306368825e+01 4.710810788489984691e-01 3.662898883326480282e-01 3.612585903846974844e+01
1.060786799327865015e+00 1.447258111583438756e-01 4.642515279306368825e+01 4.710810788489984691e-01 3.662898883326480282e-01 3.612585903846974844e+01
1.049548063766019501e+00 1.748870840948626437e-01 3.430720540936344776e+01 3.278730697384404369e-01 1.249851068964841633e-01 3.406896401485666814e+01
1.049548063766019501e+00 1.748870840948626437e-01 3.430720540936344776e+01 3.278730697384404369e-01 1.249851068964841633e-01 3.406896401485666814e+01
1.091324914254739209e+00 1.229740815662106052e-01 3.565275890440100426e+01 5.722905549027728078e-01 2.384136230902705322e-01 2.960171641136542675e+01
1.128817083527047904e+00 1.206354362783131490e-01 4.216516953615525409e+01 5.464697239019489228e-01 2.043671246179544487e-01 2.695003601691688999e+01
1.134310392683401503e+00 1.980103076813894414e-01 2.529507239461556267e+01 4.204596840420086745e-01 2.045277318364770169e-01 3.290545977854905146e+01
1.134310392683401503e+00 1.980103076813894414e-01 2.529507239461556267e+01 4.204596840420086745e-01 2.045277318364770169e-01 3.290545977854905146e+01
1.116224280730799379e+00 1.996712044119929030e-01 2.383236670984984684e+01 3.889052462717315639e-01 2.336017509493426014e-01 3.324782369000323001e+01
1.077035774686087688e+00 1.670248375284315023e-01 2.883270398105723942e+01 4.032765525874606460e-01 2.311315595376625120e-01 3.740134106501893285e+01
1.077035774686087688e+00 1.670248375284315023e-01 2.883270398105723942e+01 4.032765525874606460e-01 2.311315595376625120e-01 3.740134106501893285e+01
1.064586325513815046e+00 1.190255309811961149e-01 2.657178695563684911e+01 3.005539956878107710e-01 1.709117142653670818e-01 3.896057230049942177e+01
1.110691786027548256e+00 1.155155281481235197e-01 3.443139233955800904e+01 3.683830456794235375e-01 1.785509061720602919e-01 3.654166130207090646e+01
1.071244039403910442e+00 1.533923350299119526e-01 3.365411058328811578e+01 3.421633402601169660e-01 1.541568004977791062e-01 3.515657225257805152e+01
1.077586623005238664e+00 1.265111566194580262e-01 3.554857585402469766e+01 2.977773028146976642e-01 1.448978744044048805e-01 3.498654198266095250e+01
1.094562716961200888e+00 1.442648606949499257e-01 3.975093694052497995e+01 3.496974894230953090e-01 1.546310856599970862e-01 3.453322478216431790e+01
1.024676395176631116e+00 1.361559770554423843e-01 3.156282631949570572e+01 5.405677251507118308e-01 1.670805138312652927e-01 3.654479024269996046e+01
1.024154974286443975e+00 1.138814236089745052e-01 3.669702084922543150e+01 4.455346770974275006e-01 4.049586099284093743e-01 3.512858907116416418e+01
